Kanton,location,Grossregion_NutsCode
BE,Espace Mittelland,CH02
FR,Espace Mittelland,CH02
JU,Espace Mittelland,CH02
NE,Espace Mittelland,CH02
SO,Espace Mittelland,CH02
GE,Genferseeregion,CH01
VD,Genferseeregion,CH01
VS,Genferseeregion,CH01
AG,Nordwestschweiz,CH03
BL,Nordwestschweiz,CH03
BS,Nordwestschweiz,CH03
AI,Ostschweiz,CH05
AR,Ostschweiz,CH05
GL,Ostschweiz,CH05
GR,Ostschweiz,CH05
SG,Ostschweiz,CH05
SH,Ostschweiz,CH05
TG,Ostschweiz,CH05
TI,Tessin,CH07
LU,Zentralschweiz,CH06
NW,Zentralschweiz,CH06
OW,Zentralschweiz,CH06
SZ,Zentralschweiz,CH06
UR,Zentralschweiz,CH06
ZG,Zentralschweiz,CH06
ZH,Zürich,CH04
FL,Fürstentum Lichtenstein,LI00
